视频编号,视频文件,Session,题目,A,B,C,D,正确答案,视频时长秒
vid_1401,1401.mp4,5,视频主要展示的是哪科的练习册？,数学,语文,英语,美术,B,12.259
vid_1402,1402.mp4,8,视频主要展示的动物是什么？,鸡,鸭,猪,鹅,A,12.259
vid_1403,1403.mp4,9,视频中道路周边成群出现的动物是？,马,牛,羊,猪,C,12.259
vid_1404,1404.mp4,2,视频主要展示了什么？,中年男性,年轻女性,小男孩,老年男性,B,12.261
vid_1405,1405.mp4,7,视频中的人物主要在做什么？,对着镜头自拍,炒菜做饭,打篮球,骑自行车,A,12.261
vid_1406,1406.mp4,14,视频中的人物主要在做什么？,跳舞表演,骑自行车,撑伞走下台阶,炒菜做饭,C,12.261
vid_1407,1407.mp4,12,视频中的人物主要在做什么？,跑步,手持奖杯站立,跳舞,做饭,B,12.282
vid_1408,1408.mp4,13,视频拍摄的主要场景是？,郊外山林草地,室内居民家中,夜间城市道路,白天海边沙滩,C,12.282
vid_1409,1409.mp4,6,视频中人物手部操作的主要物品是什么？,绿色杯子,红色小球,黄色书包,白色筷子,B,12.282
vid_1410,1410.mp4,8,视频主要展示的是什么场景？,海边度假沙滩,乡村山野村落,城市高层写字楼,大型商场内部,B,12.284
vid_1411,1411.mp4,5,视频中人物主要在做什么？,按摩膝盖部位,清洗碗筷,修剪花木,缝制衣物,A,12.284
vid_1412,1412.mp4,15,视频主要展示什么？,搭窝的燕子,飞舞的蝴蝶,盛开的鲜花,返青的小草,C,12.284
vid_1413,1413.mp4,1,视频中人物主要在做什么？,练习书法,制作凉拌菜,清洗衣物,修理家具,B,12.304
vid_1414,1414.mp4,11,视频中的人物主要在做什么？,跳双人舞,烹饪做饭,面对面交谈,打羽毛球,C,12.306
vid_1415,1415.mp4,4,视频中的人物主要在做什么？,伏案写字,厨房做饭,户外跑步,对着镜头自拍,D,12.306
vid_1416,1416.mp4,16,视频主要展示的动物是什么？,虾,章鱼,螃蟹,海鱼,A,12.306
vid_1417,1417.mp4,3,视频中的两个人主要在做什么？,烹饪做饭,跑步锻炼身体,躺在床上互动,伏案写作业,C,12.306
vid_1418,1418.mp4,9,视频中的一男一女主要在做什么？,跑步健身,拥抱互动,做饭炒菜,写字画画,B,12.307
vid_1419,1419.mp4,9,视频中的两位核心人物主要在做什么？,跳绳,散步,做操,跑步,D,12.307
vid_1420,1420.mp4,10,穿绿色毛衣的人主要在做什么？,拿手机拍视频,用筷子夹菜吃,往盆里倒饮料,端着大盆喝东西,D,12.307
vid_1421,1421.mp4,16,视频主要展示什么内容？,教室授课板书,游戏个人资料界面,餐厅点餐菜单,景区导览地图,B,12.329
vid_1422,1422.mp4,4,视频里的小女孩主要在做什么？,跑步锻炼身体,面向镜头微笑,专注弹钢琴,认真写作业,B,12.329
vid_1423,1423.mp4,11,视频中的男子主要在操作什么物品？,洗衣机,冰箱,电视机,沙发,B,12.329
vid_1424,1424.mp4,1,视频中的孔雀主要在做什么？,开屏展示尾羽,展翅飞行,低头啄食,快速奔跑,A,12.329
vid_1425,1425.mp4,10,视频主要展示的人物在做什么？,读书写字,对着镜头自拍,烹饪做饭,跑步运动,B,12.33
vid_1426,1426.mp4,3,视频中的人物主要在做什么？,面向镜头出镜,写字看书,烹饪做饭,跑步运动,A,12.33
vid_1427,1427.mp4,15,视频主要展示的是哪类人物？,老年女士,老年男士,年幼女童,年轻男士,D,12.352
vid_1428,1428.mp4,6,视频的主要场景是在哪里？,超市卖场里,海边沙滩上,行驶的汽车内,学校教室内,C,12.352
vid_1429,1429.mp4,13,视频主要展示的场景是哪里？,海边沙滩,深山森林,城市马路,室内商场,C,12.352
vid_1430,1430.mp4,12,视频中主要燃放的是什么物品？,烟花,篝火,油灯,蜡烛,A,12.352
vid_1431,1431.mp4,14,视频主要展示的是什么场景？,临湖古村落,热带雨林,都市商业街,高原牧场,A,12.352
vid_1432,1432.mp4,5,视频中的人物主要在做什么？,打球,走路,做饭,画画,B,12.354
vid_1433,1433.mp4,8,视频中人物主要在进行什么活动？,课堂授课,烹饪做饭,跑步比赛,杂技表演,D,12.354
vid_1434,1434.mp4,2,视频中的人物主要在做什么？,做饭,看书,跑步,大笑,D,12.375
vid_1435,1435.mp4,15,视频里的人物主要在做什么？,烹饪炒菜,裁剪物品,读书写字,打球运动,B,12.377
vid_1436,1436.mp4,17,视频主要记录的活动是什么？,公园散步,夜间乘车行进,室内办公,餐厅吃面条,B,12.377
vid_1437,1437.mp4,6,视频拍摄的主要场景是哪里？,教室,卧室,厨房,海边,C,12.377
vid_1438,1438.mp4,7,视频中的人物主要在做什么？,写字画画,驾驶车辆,做饭炒菜,唱歌跳舞,B,12.377
vid_1439,1439.mp4,7,视频中的人物主要在做什么？,做饭,跳舞,打球,看书,B,12.377
vid_1440,1440.mp4,2,视频主要展示了什么景象？,平静的湖水,结冰的河面,湍急的洪水,喷涌的喷泉,C,12.377
vid_1441,1441.mp4,11,视频中的人物主要在做什么？,写字画画,拥抱互动,做饭炒菜,跑步比赛,B,12.397
vid_1442,1442.mp4,14,视频中出现的水果是？,香蕉,火龙果,苹果,西瓜,B,12.399
vid_1443,1443.mp4,13,视频主要展示什么内容？,动画电影节选,美食制作教程,风景航拍片段,幼儿纪念写真,D,12.399
vid_1444,1444.mp4,10,视频中的人物主要在做什么？,跳芭蕾舞,表演相声,烹饪做饭,踢足球,B,12.399
vid_1445,1445.mp4,4,视频主要展示的物品是什么？,家用拖鞋,普通雨伞,纸质笔记本,防水鞋套,D,12.399
vid_1446,1446.mp4,3,视频中遮挡人物口鼻的物品是什么？,眼镜,帽子,围巾,口罩,D,12.399
vid_1447,1447.mp4,12,视频主要展示的场景是什么？,雨中城市街景,夜间星空景象,高山雪景,黄昏日落景色,D,12.4
vid_1448,1448.mp4,5,视频主要展示的场景是哪里？,居民家中室内,酒店大堂,学校教室,商场卖场,A,12.4
vid_1449,1449.mp4,8,视频主要展示的场景是哪里？,室内教室,砖砌人行道,地下车库,海边沙滩,B,12.4
vid_1450,1450.mp4,17,视频中主要展示的做饭方式是？,用微波炉加热,用电饭锅煮饭,用天然气炒菜,烧柴火做饭,D,12.4
vid_1451,1451.mp4,1,视频中人物主要穿着什么特殊服装？,航天服,潜水服,滑雪服,厨师服,A,12.42
vid_1452,1452.mp4,9,视频里的两个人主要在做什么？,烹饪制作美食,亲密相拥互动,演奏各类乐器,打扫房间卫生,B,12.42
vid_1453,1453.mp4,16,视频主要展示的核心人物是？,年幼男童,年轻女性,老年女性,老年男性,B,12.422
vid_1454,1454.mp4,9,视频中的男女主要在做什么？,接吻,做饭,看书,打球,A,12.422
vid_1455,1455.mp4,8,视频中成群出现的动物是？,熊猫,骆驼,老虎,海鸥,B,12.423
vid_1456,1456.mp4,5,视频里道路周边大多覆盖着什么？,青草,积雪,黄沙,落叶,B,12.423
vid_1457,1457.mp4,17,视频主要展示的是什么场景？,城市街区,草原牧场,雾中山村,沙漠戈壁,C,12.423
vid_1458,1458.mp4,16,视频主要展示的活动是什么？,户外野餐,课堂学习,庆祝生日,体育比赛,C,12.423
vid_1459,1459.mp4,1,视频中的人物主要在做什么？,室内打扫卫生,田里干农活,户外走路说笑,舞台表演节目,C,12.423
vid_1460,1460.mp4,12,视频主要展示的是什么？,一只宠物猫,一辆汽车,一位女性,一座高山,C,12.434
vid_1461,1461.mp4,3,视频主要展示的是哪类场景？,室内办公场所,白天海滨沙滩,郊外山间小路,夜晚城市道路,D,12.445
vid_1462,1462.mp4,10,视频中的人物主要在做什么？,画画,做饭,跳舞,打球,C,12.445
vid_1463,1463.mp4,4,视频主要展示了什么路况？,路面严重结冰,路面正在施工,路面覆盖积雪,路面严重积水,D,12.445
vid_1464,1464.mp4,14,视频中的人物主要在做什么？,跳舞,画画,做饭,看书,A,12.446
vid_1465,1465.mp4,13,视频中的人物主要在做什么？,画画,跑步,喝茶,做饭,C,12.446
vid_1466,1466.mp4,6,视频里人物主要在做什么？,清扫地面,烹饪菜肴,弹奏钢琴,展示盒子结构,D,12.467
vid_1467,1467.mp4,15,视频里的男子主要在做什么？,对着镜头做表情动作,在桌前看书学习,在操场跑步锻炼,在厨房炒菜做饭,A,12.468
vid_1468,1468.mp4,11,视频中的人物主要在做什么？,浇水,种花,除草,施肥,C,12.468
vid_1469,1469.mp4,2,视频中主要开展的农事活动是什么？,放牧牛羊,收割玉米,撒网捕鱼,采摘水果,B,12.47
vid_1470,1470.mp4,11,视频中男子主要做了什么？,用钉耙翻挖土地,清扫路面卫生,向女子递送花束,快速跑步赶路,C,12.47
vid_1471,1471.mp4,2,视频里的女士主要在做什么？,写字画画,做手势动作,炒菜做饭,跑步锻炼,B,12.47
vid_1472,1472.mp4,7,视频里的女士主要在做什么？,读书写字,跑步锻炼,烹饪做饭,对着镜头自拍,D,12.47
vid_1473,1473.mp4,7,视频里的人们主要在做什么？,上课学习,聚餐吃饭,唱歌跳舞,跑步锻炼,B,12.47
vid_1474,1474.mp4,3,视频中的执法人员主要在做什么？,购买餐饮食品,抓捕涉案人员,清扫路面垃圾,表演街头节目,B,12.484
vid_1475,1475.mp4,16,视频中两位人物所穿衣服的主色调是？,蓝色,绿色,红色,黄色,C,12.491
vid_1476,1476.mp4,4,视频里的人物主要在做什么？,跑步,做饭,跳舞,游泳,A,12.491
vid_1477,1477.mp4,12,视频主要展示的动物是什么？,大鱼,小鸟,小狗,小猫,A,12.491
vid_1478,1478.mp4,10,视频中持伞的路人主要在做什么？,步行走路,跳广场舞,摆摊售货,骑自行车,A,12.493
vid_1479,1479.mp4,15,视频中的人们主要在做什么？,跳舞表演,读书学习,聚餐吃饭,打球运动,C,12.493
vid_1480,1480.mp4,14,视频中的人物主要在做什么？,对着镜头做手势,跑步锻炼,伏案看书,烹饪炒菜,A,12.493
vid_1481,1481.mp4,6,视频主要展示的内容是什么？,野生动物活动画面,汽车驾驶教学画面,美食烹饪演示画面,不同场景的人物画面,D,12.493
vid_1482,1482.mp4,13,视频中的人物主要在做什么？,做饭,跑步,荡秋千,看书,C,12.493
vid_1483,1483.mp4,1,视频主要展示了什么内容？,女性妆容变化,厨房烹饪过程,自然风光展示,体育比赛片段,A,12.513
vid_1484,1484.mp4,5,视频中的人物主要在做什么？,绘制油画作品,处理发好的面团,在泳池游泳,演唱流行歌曲,B,12.515
vid_1485,1485.mp4,8,视频中的人物主要在做什么？,对着镜头自拍,在教室上课,在户外跑步,在厨房做饭,A,12.515
vid_1486,1486.mp4,17,视频中的人物主要在做什么？,跑步锻炼,弹奏乐器,展示所穿服饰,烹饪做饭,C,12.515
vid_1487,1487.mp4,9,视频中的人物主要在做什么？,岸边钓鱼,在河中游泳,在桥上行走,攀爬大树,C,12.515
vid_1488,1488.mp4,1,视频中的两位人物主要处于什么状态？,躺着睡觉,跑步行进,坐着面对镜头,站着跳舞,C,12.516
vid_1489,1489.mp4,5,视频中的人物主要在做什么？,卷头发,写字,炒菜,跑步,A,12.516
vid_1490,1490.mp4,17,视频中人物主要在做什么？,弹奏乐器,跑步比赛,烹饪做饭,展示花束,D,12.516
vid_1491,1491.mp4,9,视频主要展示的是什么？,办公文具,家用电器,儿童玩具,各式零食水果,D,12.516
vid_1492,1492.mp4,8,视频中的人物主要在做什么？,打扫房间卫生,低头伏案写字,列队行进做动作,围坐吃饭聊天,C,12.516
vid_1493,1493.mp4,12,视频中的人物主要在做什么？,吃水果,唱歌跳舞,看书学习,打扫卫生,A,12.534
vid_1494,1494.mp4,16,视频中出现的年轻女生主要在做什么？,打羽毛球,骑自行车,操作手机,做饭炒菜,C,12.534
vid_1495,1495.mp4,3,视频拍摄的主要场景是哪里？,白天的农田,室内商场,地下停车场,夜晚户外广场,D,12.538
vid_1496,1496.mp4,7,视频中的女士主要在做什么？,做饭,跳舞,画画,打球,B,12.538
vid_1497,1497.mp4,2,视频中人物手持展示的主要食品是什么？,面包,糖果,方便面,饼干,C,12.538
vid_1498,1498.mp4,10,视频主要展示的交通工具是？,电动自行车,自行车,小轿车,摩托车,D,12.538
vid_1499,1499.mp4,4,视频中人物主要在做什么？,展示多款上衣,擦拭家具,弹奏吉他,烹饪炒菜,A,12.538
vid_1500,1500.mp4,11,视频中的人物主要在做什么？,做饭,投篮,画画,看书,B,12.538
vid_1501,1501.mp4,13,视频画面中心主要展示了什么？,女性人物,参天大树,宠物小狗,家用轿车,A,12.539
vid_1502,1502.mp4,6,视频主要展示的场景是哪里？,超市内部,公路路口,教室里面,居民家中,B,12.539
vid_1503,1503.mp4,15,视频里的大多数人在做什么？,列队跑步,坐着停留,炒菜做饭,跳舞表演,B,12.539
vid_1504,1504.mp4,6,视频中的主要人物在做什么？,烹饪食物,缝制衣物,跳舞表演,打扫卫生,A,12.539
vid_1505,1505.mp4,14,视频中的女性主要在做什么？,整理货品,加油作业,跳舞,打扫卫生,C,12.539
vid_1506,1506.mp4,15,视频的主要场景是？,白天草原,游泳馆内,夜间城市路口,室内教室,C,12.54
vid_1507,1507.mp4,9,视频中的小女孩手中拿着的物品是？,油纸伞,吉他,课本,篮球,A,12.56
vid_1508,1508.mp4,8,视频里的游戏角色主要在做什么？,购买对局装备,击杀野外怪物,攻击敌方英雄,修理防御塔,D,12.56
vid_1509,1509.mp4,3,视频中的男子主要在做什么？,写字画画,表演魔术,唱歌跳舞,烹饪炒菜,B,12.561
vid_1510,1510.mp4,12,视频里的两个人主要在做什么？,教室上课学习,厨房做饭炒菜,户外跑步运动,躺在床上休息,D,12.561
vid_1511,1511.mp4,11,视频中人们主要在雕像前做什么？,跳舞表演,献花鞠躬,打球锻炼,聚餐吃饭,B,12.561
vid_1512,1512.mp4,1,视频中的女性主要在做什么？,画画,睡觉,唱歌,吃饭,B,12.561
vid_1513,1513.mp4,17,视频里的小男孩主要在做什么？,画画,看书,拼拼图,搭积木,C,12.561
vid_1514,1514.mp4,7,视频中的人物主要在做什么？,绑扎钢筋,烹饪做饭,跳舞表演,书写绘画,A,12.561
vid_1515,1515.mp4,16,视频主要展示的是什么？,苹果,宠物猫,年轻女性,自行车,C,12.561
vid_1516,1516.mp4,5,视频中的人物主要在做什么？,户外路上互动,球场打球,厨房做饭,教室上课,A,12.561
vid_1517,1517.mp4,4,视频主要展示的内容是什么？,一辆汽车,一位女性,一只小狗,一棵大树,B,12.562
vid_1518,1518.mp4,10,视频主要呈现的内容是什么？,一桌家常菜肴,一只宠物猫咪,一座古典石桥,一位年轻女性,D,12.562
vid_1519,1519.mp4,2,视频中的老人主要在做什么？,慢走,踢毽子,打羽毛球,跳绳,D,12.562
vid_1520,1520.mp4,13,视频中的人物主要在做什么？,唱歌跳舞,看书学习,炒菜做饭,健身锻炼,D,12.567
vid_1521,1521.mp4,14,视频中的人物主要在做什么？,吃火锅,唱歌表演,跑步锻炼,上课学习,A,12.567
vid_1522,1522.mp4,2,视频中男子较长时间在做什么？,拉行李箱行走,骑自行车,打篮球,跑步锻炼,A,12.584
vid_1523,1523.mp4,7,视频主要展示的物体是什么？,电动货运三轮车,人力二轮自行车,带彩灯的观光小火车,家用燃油小轿车,C,12.584
vid_1524,1524.mp4,3,视频中的游客主要在做什么？,跳舞表演,跑步健身,摆摊售卖,投喂天鹅,D,12.584
vid_1525,1525.mp4,14,视频中的男子主要在做什么？,跑步比赛,对着镜头说话,低头画画,搬运货物,B,12.586
vid_1526,1526.mp4,4,视频中的人物主要在做什么？,烹饪做饭,安静写作业,弹奏乐器,做健身运动,D,12.586
vid_1527,1527.mp4,16,视频里的女士主要在做什么？,跳舞,做饭,看书,洗衣服,A,12.586
vid_1528,1528.mp4,17,视频主要展示的物品是？,可爱的毛绒玩具,新鲜的水果蔬菜,常用的厨房餐具,堆叠的书本资料,D,12.586
vid_1529,1529.mp4,10,视频中醒目的大型红色车辆是什么？,货运卡车,小型轿车,电动自行车,客运巴士,A,12.586
vid_1530,1530.mp4,11,视频主要展示的内容是什么？,一辆汽车,一位女士,一只小狗,一盘水果,B,12.586
vid_1531,1531.mp4,13,视频里的女性主要在做什么？,坐在桌前写作业,对着镜头做手势表演,在厨房炒菜做饭,在户外跑步锻炼,B,12.586
vid_1532,1532.mp4,12,视频中蹲着的男子主要在做什么？,唱歌跳舞,炒菜做饭,挖土刨坑,读书写字,C,12.586
vid_1533,1533.mp4,5,视频中的人物主要在做什么？,对着镜头表演,跑步锻炼,伏案写作,烹饪炒菜,A,12.607
vid_1534,1534.mp4,8,视频中的人物主要在做什么？,写书法,洗衣服,掀开模具展示砖雕,烹饪炒菜,C,12.607
vid_1535,1535.mp4,1,视频中的大白主要在做什么？,骑电动车,做饭,画画,跳舞,A,12.608
vid_1536,1536.mp4,9,视频里的人物主要在做什么？,跳舞表演,摆弄手中的小物件,踢足球,烹饪做饭,B,12.609
vid_1537,1537.mp4,15,视频中的人物主要在做什么？,并排坐着晃动身体,伏案写作业,在操场跑步,在厨房做饭,A,12.609
vid_1538,1538.mp4,6,视频中男子主要在做什么？,打篮球,抱着年幼婴儿,烹饪炒菜,看书学习,B,12.616
vid_1539,1539.mp4,12,视频中的人物主要在做什么？,踩地面数字格子跳步,洗衣服,画画,吃饭,A,12.629
vid_1540,1540.mp4,11,视频里的人物主要在做什么？,制作蔬菜沙拉,修理自行车,缝补衣服,跳健身操,A,12.629
vid_1541,1541.mp4,15,桌上盘子里放的主要食物是什么？,饺子,蛋糕,面条,馒头,B,12.631
vid_1542,1542.mp4,16,视频主要展示的是哪种场景？,码头装卸货物,赛道赛车竞速,山间公路行车,停车场内倒车,C,12.631
vid_1543,1543.mp4,2,视频主要展示的内容是什么？,海底世界,乡村农田,高山峡谷,城市街景,D,12.631
vid_1544,1544.mp4,3,视频中的主要场景位于哪里？,草原,沙漠,雪地,海边,B,12.631
vid_1545,1545.mp4,4,视频里的女性主要在做什么？,画画,跳舞,读书,做饭,B,12.631
vid_1546,1546.mp4,10,视频中人物主要在做什么？,修剪花木,清洗衣物,玩电脑游戏,制作蛋卷类食物,D,12.631
vid_1547,1547.mp4,6,视频中的女子主要在做什么？,打羽毛球,对着镜头自拍,厨房烹饪做菜,驾驶机动车,B,12.631
vid_1548,1548.mp4,17,视频主要展示什么内容？,美食烹饪教学,自然风光记录,真人户外探险,动漫男性角色片段,D,12.631
vid_1549,1549.mp4,13,视频中人物主要在进行什么活动？,做饭,上课,泡温泉,打篮球,C,12.631
vid_1550,1550.mp4,14,视频里的两个人主要在做什么？,烹饪做饭,唱歌跳舞,下地干活,面对面交谈,D,12.631
vid_1551,1551.mp4,1,视频主要展示的内容是什么？,教室课堂教学,游戏角色融合操作,餐厅烹饪食物,户外篮球比赛,B,12.632
vid_1552,1552.mp4,9,视频中主要进行的动作是什么？,上场打篮球,翻阅画册,弹奏乐器,烹饪做饭,B,12.632
vid_1553,1553.mp4,5,视频的主要场景是哪里？,健身房,小吃店,教室,医院病房,B,12.632
vid_1554,1554.mp4,8,视频主要展示的活动是什么？,理发做发型,写字学习,烹饪做饭,跳舞表演,A,12.634
vid_1555,1555.mp4,8,视频中的人物主要在做什么？,用餐吃饭,对着镜头做手势,伏案写作业,打扫房间卫生,B,12.654
vid_1556,1556.mp4,1,视频中的人物主要在做什么？,练习瑜伽健身,吹头发打理发型,烹饪制作食物,打扫房间卫生,B,12.654
vid_1557,1557.mp4,9,背着书包的学生们正在做什么？,操场打球,走进学校,登台表演,坐着吃饭,B,12.654
vid_1558,1558.mp4,7,视频中医护抱出、家属迎接的是什么？,外卖餐盒,医用器械,毛绒玩具,新生婴儿,D,12.654
vid_1559,1559.mp4,7,视频中的女子主要在做什么？,打篮球,炒菜,自拍,写作业,C,12.654
vid_1560,1560.mp4,5,视频主要展示的核心物体是什么？,乡间小路,高层楼宇,普通平房,露天球场,B,12.655
vid_1561,1561.mp4,6,视频里人物主要在做什么？,书写绘画,演奏乐器,搅拌锅中食物,打扫室内卫生,C,12.655
vid_1562,1562.mp4,4,视频中的女子主要在做什么？,做饭,跑步,自拍,跳舞,C,12.667
vid_1563,1563.mp4,2,视频展示的主要场景是哪里？,农田,沙漠,海边,山顶,C,12.677
vid_1564,1564.mp4,10,视频里的人物主要在做什么？,集体打扫卫生,集体做体能训练,集体聚餐吃饭,集体唱歌表演,B,12.677
vid_1565,1565.mp4,15,视频中的人物主要在做什么？,烹饪做饭,尝试做手部动作,跑步健身,读书写字,B,12.677
vid_1566,1566.mp4,3,视频中的女士主要在做什么？,烹饪做饭,打扫卫生,弹奏钢琴,展示连衣裙,D,12.677
vid_1567,1567.mp4,14,视频中人物主要在做什么？,亲人团聚相认,登台表演节目,参加体育比赛,集体聚餐吃饭,A,12.679
vid_1568,1568.mp4,13,视频主要展示什么？,鲜花,小鸟,小鱼,蘑菇,D,12.679
vid_1569,1569.mp4,17,视频主要展示的动物是什么？,小狗,兔子,仓鼠,小猫,A,12.7
vid_1570,1570.mp4,17,视频中的女性主要在做什么？,直播带货,打扫卫生,弹奏乐器,烹饪美食,A,12.7
vid_1571,1571.mp4,16,视频中人物主要在做什么？,写字,擦桌子,缝衣服,炒菜,A,12.7
vid_1572,1572.mp4,11,视频主要展示什么物品的使用？,数码相机,智能手表,学习平板,智能手机,C,12.7
vid_1573,1573.mp4,12,视频主要展示了哪两种动物的互动？,狗和大鹅,鸡和鸭,老虎和狮子,猫和老鼠,A,12.7
vid_1574,1574.mp4,16,视频主要展示的食物是？,烤排骨,奶油蛋糕,凉拌黄瓜,鲜切水果,A,12.7
vid_1575,1575.mp4,12,视频的主要场景是哪里？,厨房,海边,服装店,教室,C,12.702
vid_1576,1576.mp4,13,视频中的两人主要在做什么？,跑步锻炼,伏案写字,做饭炒菜,亲密互动,D,12.702
vid_1577,1577.mp4,14,视频中的人物主要在做什么？,炒菜做饭,看书学习,跑步锻炼,对着镜头自拍互动,D,12.702
vid_1578,1578.mp4,15,视频后半段画面中持续飘落的是什么？,枫叶,雪花,雨滴,花瓣,B,12.702
vid_1579,1579.mp4,11,视频中人们活动的主要场所是哪里？,石砌拱桥,城市立交桥,室内走廊,木质吊桥,D,12.702
vid_1580,1580.mp4,10,视频中穿制服的警察主要在做什么？,唱歌跳舞,购买商品,维修车辆,押解相关人员,D,12.711
vid_1581,1581.mp4,6,视频中的小女孩主要在做什么？,跳舞,做饭,跑步,打球,A,12.724
vid_1582,1582.mp4,3,视频中的人物主要在做什么？,跳舞,画画,打球,做饭,A,12.724
vid_1583,1583.mp4,7,视频中人物手里拿着的主要物品是什么？,雨伞,书本,苹果,红玫瑰,D,12.724
vid_1584,1584.mp4,2,视频主要展示的是哪类活动布置？,订婚庆贺,生日派对,毕业典礼,开业典礼,A,12.724
vid_1585,1585.mp4,4,视频中的男子主要在做什么？,维修电动车,骑行配送外卖,查看手中的文件袋,吃饭休息,C,12.724
vid_1586,1586.mp4,9,视频中的人物主要在做什么？,弹奏钢琴,烹饪做饭,骑自行车,驾驶汽车,D,12.724
vid_1587,1587.mp4,5,视频中的学生主要在进行什么活动？,玩跳山羊游戏,踢足球,打篮球,跳绳,A,12.724
vid_1588,1588.mp4,8,视频主要展示的食物是？,红烧排骨,水煮玉米,清蒸螃蟹,无骨凤爪,D,12.724
vid_1589,1589.mp4,1,视频中的工人主要在做什么？,粉刷装修墙面,烹饪制作食物,开展体育比赛,唱歌跳舞表演,A,12.725
vid_1590,1590.mp4,9,视频中的人物主要在做什么？,厨房烹饪做饭,教室读书写字,玩雪制作造型,操场跑步锻炼,C,12.725
vid_1591,1591.mp4,8,视频中人物主要在做什么？,吃烤肉火锅,写作业,打羽毛球,洗衣服,A,12.725
vid_1592,1592.mp4,17,视频里的人物主要在做什么？,炒菜做饭,拍照留影,修理汽车,耕地种田,B,12.747
vid_1593,1593.mp4,11,视频中的主要场景是哪里？,操场,卧室,厨房,教室,C,12.747
vid_1594,1594.mp4,6,视频主要展示什么？,一束鲜花,一只小狗,一位女性,一辆汽车,C,12.748
vid_1595,1595.mp4,2,视频中人物主要在做什么？,处理鸡蛋,弹奏乐器,打扫卫生,练习书法,A,12.748
vid_1596,1596.mp4,15,视频中的故事发生在什么场所？,普通教室,医院门诊,中式餐馆,珠宝门店,D,12.748
vid_1597,1597.mp4,3,视频里的年轻女子主要在做什么？,写字,画画,跳舞,做饭,C,12.748
vid_1598,1598.mp4,4,视频开头湿透的男子坐在什么里面？,木板床,白色浴缸,布艺沙发,木质澡盆,B,12.748
vid_1599,1599.mp4,16,视频中的主要户外场景是哪里？,雪山,森林,河边,商场,C,12.748
vid_1600,1600.mp4,5,视频里的两名男子主要在做什么？,生火做饭,跳舞表演,读书写字,摔跤嬉闹,D,12.748
vid_1601,1601.mp4,1,视频里的人们主要在做什么？,做饭,画画,打篮球,采摘水果,D,12.748
vid_1602,1602.mp4,14,视频主要展示的是什么？,书桌上的文具,餐桌上的菜肴,花园里的花木,道路上的车辆,B,12.748
vid_1603,1603.mp4,7,视频里的人物主要在做什么？,擦拭玻璃,缝补衣服,手工切面条,修剪花木,C,12.753
vid_1604,1604.mp4,12,视频的拍摄场景主要在哪里？,明亮室内教室,白天高山草甸,晴天海边沙滩,室外夜晚空地,D,12.766
vid_1605,1605.mp4,4,视频中的男性主要在做什么？,趴在床上,伏案写字,跑步健身,生火做饭,A,12.77
vid_1606,1606.mp4,10,视频主要展示的内容是什么？,冬季雪景,秋收场景,城市夜景,盛开的春花,D,12.77
vid_1607,1607.mp4,13,视频中的人物主要在做什么？,跑步锻炼,烹饪做饭,写字看书,跳舞做手部动作,D,12.77
vid_1608,1608.mp4,2,视频主要展示的场景是什么？,乡村田野,海边沙滩,城市街道,高山牧场,C,12.77
vid_1609,1609.mp4,15,视频中人物主要在做什么？,跑步锻炼,烹饪做饭,操作手机转账,练习书法,C,12.771
vid_1610,1610.mp4,3,视频主要展示什么景观？,城市公园景色,雪山山地风光,热带雨林景观,海滨沙滩风景,B,12.771
vid_1611,1611.mp4,17,视频中主要出现的动物是？,熊猫,小猫,兔子,小狗,C,12.792
vid_1612,1612.mp4,9,视频里的小女孩主要在做什么？,在泳池里游泳,扶着滑板车站着,在厨房炒菜,坐在课桌前写字,B,12.792
vid_1613,1613.mp4,11,视频中的女性工作人员主要在做什么？,打扫卫生,讲课教学,做饭炒菜,跳舞表演,A,12.793
vid_1614,1614.mp4,10,视频中的年轻女生主要在做什么？,骑自行车,烹饪饭菜,对着镜头做手势互动,伏案写作业,C,12.793
vid_1615,1615.mp4,8,视频中的人物主要在做什么？,依次走出做动作,围坐吃饭聊天,认真伏案写字,低头清洗蔬菜,A,12.793
vid_1616,1616.mp4,14,视频中的人物主要在做什么？,手洗衣物,烹饪炒菜,坐着看书写字,在床上蹦跳,D,12.793
vid_1617,1617.mp4,13,视频中的道路有什么明显状况？,铺满积雪,严重积水,正在施工,发生塌方,B,12.794
vid_1618,1618.mp4,7,视频中的主要女士正在做什么？,烹饪美食,跳舞表演,持话筒发言,制作彩灯,C,12.795
vid_1619,1619.mp4,12,视频主要展示什么形象？,哥斯拉,变形金刚,蜘蛛侠,奥特曼,D,12.795
vid_1620,1620.mp4,6,视频主要展示什么内容？,乖巧的小猫,可爱的小宝宝,新鲜的蔬菜,精致的玩具,B,12.809
vid_1621,1621.mp4,1,视频中的人物主要在做什么？,打羽毛球,试用雨鞋套,打扫房间,做饭炒菜,B,12.816
vid_1622,1622.mp4,5,视频主要展示的大型海上装备是什么？,豪华邮轮,潜水艇,货运轮船,航空母舰,D,12.817
vid_1623,1623.mp4,11,视频中长时间出现的女士上衣主色是？,蓝色,绿色,黑色,粉色,D,12.818
vid_1624,1624.mp4,16,视频的主要拍摄场景是哪里？,户外草坪上,商店店铺内,学校教室内,家庭厨房内,B,12.818
vid_1625,1625.mp4,14,视频里的幼儿主要在做什么？,搭积木,玩皮球,玩玩具小厨房,画画,C,12.818
